Date/Time,Year,Month,Mean Max Temp (°C),Mean Max Temp Flag,Mean Min Temp (°C),Mean Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Extr Max Temp (°C),Extr Max Temp Flag,Extr Min Temp (°C),Extr Min Temp Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow Grnd Last Day (cm),Snow Grnd Last Day Flag,,,,
1977-11,1977,11,-11.4,,-17.3,,-14.4,,-4,,-25.2,,0,,58.4,,58.4,,102,,,,,
1977-12,1977,12,-22.8,,-27.8,,-25.3,,-14.5,,-31.7,S,0,,4.6,,4.6,,107,,,,,
1978-01,1978,1,-22.4,,-27.1,,-24.8,,-8.6,,-34.5,,0,,3.4,,3.4,,108,,,,,
1978-02,1978,2,-19.5,,-25.3,,-22.4,,-6,,-35.2,,0,,8.1,,8.1,,117,,,,,
1978-03,1978,3,-25.5,,-29.8,,-27.7,,,M,-35,,0,,0,T,0,T,114,,,,,
1978-04,1978,4,-16.2,,-22,,-19.1,,-6.2,,-29.4,,0,,28.3,,28.3,,116,,,,,
1978-05,1978,5,-6.3,,-12.4,,-9.4,,-1.3,,-18.9,,0,T,5.2,,5.2,,24,,,,,
1978-06,1978,6,-1.2,,-5.8,,-3.5,,7.5,,-10.1,,0,,5.4,,5.4,,10,,,,,
1978-07,1978,7,3.7,,-1.3,,1.2,,9.6,,-7.8,S,8.4,,0.4,,8.8,,0,T,,,,
1978-08,1978,8,4.6,,-0.8,,1.9,,14.6,,-7.3,,4.5,,6.1,,10.6,,0,T,,,,
1978-09,1978,9,-2.3,,-5.7,,-4,,2.5,,-10.7,,0,T,10.7,,10.7,,9,,,,,
1978-10,1978,10,-8.9,,-14.5,,-11.7,,-1.5,,-24.5,,0,,42.9,,42.9,,35,,,,,
1978-11,1978,11,-19.2,,-23.3,,-21.3,,-12.2,,-28.1,,0,,19.2,,19.2,,56,,,,,
1978-12,1978,12,-13.6,,-18.7,,-16.2,,-3.3,,-24.4,,0,,3.2,,3.2,,58,,,,,
1979-01,1979,1,-17.5,,-23.1,,-20.3,,-2,,-29.4,,0,,4.6,,4.6,,60,,,,,
1979-02,1979,2,-29.9,,-35,,-32.5,,-19.8,,-43,,0,,3.8,,3.8,,58,,,,,
1979-03,1979,3,-20.6,,-26.2,,-23.4,,-9.1,,-35.5,,0,,15.2,,15.2,,53,,,,,
1979-04,1979,4,-11.6,,-17.1,,-14.4,,-2.1,,-26.7,,0,,13.2,,13.2,,45,,,,,
1979-05,1979,5,-5.7,,-11,,-8.4,,3.2,,-16.1,,0,T,35.7,,33.3,,46,,,,,
1979-06,1979,6,0.2,,-4.5,,-2.2,,7.2,,-8.5,,6.6,,21.2,,27.8,,12,,,,,
1979-07,1979,7,5.9,,-0.7,,2.6,,11,,-3.6,,39,,0.6,,39.6,,0,,,,,
1979-08,1979,8,3.6,,-1.3,,1.2,,10.1,,-3.2,,13.8,,9.3,,23.1,,0,,,,,
1979-09,1979,9,-1.3,,-4.7,,-3,,3.4,,-16.2,,15.5,,29.3,,44.8,,20,,,,,
1979-10,1979,10,-6.2,,-10.2,,-8.2,,3.2,,-17,,0,,43.3,,43.3,,40,,,,,
1979-11,1979,11,-14.4,,-19,,-16.7,,-6.8,,-25.4,,0,,17.3,,17.3,,47,,,,,
1979-12,1979,12,-20.8,,-25.4,,-23.1,,-10.6,,-37.8,,0,,3.2,,3.2,,47,,,,,
1980-01,1980,1,-16,,-22,,-19,,-2.6,,-31.8,S,0,,24.3,,24.3,,50,,,,,
1980-02,1980,2,-18.1,,-24.1,,-21.1,,-6.2,,-34.5,,0,,6.8,,6.8,,30,,,,,
1980-03,1980,3,-18,,-23.5,,-20.8,,2.3,,-32.6,,0,,12.3,,12.3,,29,,,,,
1980-04,1980,4,-15.6,,-21.2,,-18.4,,-4.5,,-29.6,,0,,17.2,,17.2,,30,,,,,
1980-05,1980,5,-1.9,,-7.1,,-4.5,,5.2,,-15.9,,0,,36,,36,,33,,,,,
1980-06,1980,6,1.3,,-3.3,,-1,,10.3,,-7.9,,0,T,15.8,,15.8,,5,,,,,
1980-07,1980,7,8.1,,2.1,,5.1,,13.6,,-3.1,,33.1,,2,,35.1,,0,,,,,
1980-08,1980,8,8.1,,2.1,,5.1,,13.8,,-2.9,,26.3,,0,T,26.3,,0,,,,,
1980-09,1980,9,1,,-2.6,,-0.8,,8.9,,-8.6,,1.4,,35.7,,37.1,,33,,,,,
1980-10,1980,10,-5,,-8.5,,-6.8,,0.5,,-18.4,,0,T,46.7,,46.7,,76,,,,,
1980-11,1980,11,-9.8,,-15.9,,-12.9,,-2.8,,-24.5,,0,,23.7,,23.7,,81,,,,,
1980-12,1980,12,-19.3,,-24.6,,-22,,-9,,-36.6,,0,,17.3,,17.3,,96,,,,,
1981-01,1981,1,-20.3,,-24.6,,-22.5,,-14.5,,-28.6,,0,,11.5,,11.5,,106,,,,,
1981-02,1981,2,-24.2,,-28.9,,-26.6,,-18.6,,-35,,0,,21.7,,21.7,,88,,,,,
1981-03,1981,3,-15.8,,-22.6,,-19.2,,0.1,,-29.5,,0,,22,,22,,111,,,,,
1981-04,1981,4,-15.2,,-20.9,,-18.1,,6.1,,-30.4,,0,,17,,17,,107,,,,,
1981-05,1981,5,-5.4,,-10.8,,-8.1,,3.2,,-15.2,,0,,95.6,,95.6,,115,,,,,
1981-06,1981,6,2.2,,-2.9,,-0.4,,11.1,,-8.2,,1.8,,11.4,,13.2,,5,,,,,
1981-07,1981,7,7.6,,1,,4.3,,18.1,,-2.5,,56.2,,24.6,,80.8,,0,,,,,
1981-08,1981,8,6.2,,1.3,,3.8,,12.5,,-4.6,,37,,4,,41,,0,,,,,
1981-09,1981,9,0.4,,-3.1,,-1.4,,5.3,,-6.6,,13.7,,100.1,,113.8,,51,,,,,
1981-10,1981,10,-4.1,,-8.4,,-6.3,,2.6,,-15.7,,0,T,64.9,,64.9,,95,,,,,
1981-11,1981,11,-9.8,,-13.9,,-11.9,,-4.4,,-19.3,,0,T,19.2,,19.2,,78,,,,,
1981-12,1981,12,-16.3,,-20.9,,-18.6,,-11,S,-26,,0,,35.9,,35.9,,88,,,,,
1982-01,1982,1,-18.8,,-24.8,,-21.8,,-7.4,S,-40,,0,,18,,18,,99,,,,,
1982-02,1982,2,-25,,-29.8,,-27.4,,-19.7,,-35.6,,0,,3.3,,3.3,,101,,,,,
1982-03,1982,3,-23.4,,-28.8,,-26.1,,-12.7,,-34.5,,0,,1.4,,1.4,,102,,,,,
1982-04,1982,4,-16.3,,-22,,-19.2,,-8.7,,-29.9,,0,,9.9,,9.9,,106,,,,,
1982-05,1982,5,-6.8,,-12.2,,-9.5,,2.4,,-18,,0,,15.1,,15.1,,87,,,,,
1982-06,1982,6,4.3,,-1.1,,1.6,,13.3,,-8.9,,0,T,1.3,,1.3,,0,,,,,
1982-07,1982,7,7.5,,0,,3.8,,17.1,,-6.8,,24.9,,11.2,,36.1,,0,,,,,
1982-08,1982,8,4.6,,-0.4,,2.1,,13.4,,-7,,6.6,,13.6,,20.2,,0,,,,,
1982-09,1982,9,-1.8,,-5.3,,-3.6,,5.4,,-11.1,,0,T,34,,34,,16,,,,,
1982-10,1982,10,-6.3,,-9.6,,-8,,-0.5,,-15,,0,,29.1,,29.1,,43,,,,,
1982-11,1982,11,-13.1,,-17.5,,-15.3,,-4.9,,-22.5,,0,T,31.4,,31.4,,51,,,,,
1982-12,1982,12,-23.1,,-27.2,,-25.2,,-14.4,,-38.5,,0,,10.4,,10.4,,56,,,,,
1983-01,1983,1,-29.6,,-33.9,,-31.8,,-22,,-38.3,,0,,1,,1,,56,,,,,
1983-02,1983,2,-28.2,,-33.3,,-30.8,,,M,-41.6,,0,,8.9,,8.9,,58,,,,,
1983-03,1983,3,-23.3,,-28.7,,-26,,-11.8,,-35,,0,,1.8,,1.8,,55,,,,,
1983-04,1983,4,-16.2,,-22.6,,-19.4,,-0.9,,-34,,0,,34.3,,34.3,,92,,,,,
1983-05,1983,5,-8.4,,-13.6,,-11,,6.7,,-20.3,,0,T,16,,16,,9,,,,,
1983-06,1983,6,2.2,,-2.5,,-0.2,,7.8,,-8.1,S,0.3,,6,,6.3,,2,,,,,
1983-07,1983,7,5.3,,-0.4,,2.5,,14.4,,-4.1,,2.4,,,M,,M,0,,,,,
1983-08,1983,8,2.5,,-2.5,,0,,8.7,,-6,,0,T,10.7,,10.7,,2,,,,,
1983-09,1983,9,0.5,,-3.5,,-1.5,,7.5,,-7.4,,0,,6.1,,6.1,,4,,,,,
1983-10,1983,10,-6.7,,-11.2,,-9,,-2.2,,-19.7,,0,,34,,34,,32,,,,,
1983-11,1983,11,-14.9,,-20,,-17.5,,-7,,-30.1,,0,,26.9,,26.9,,32,,,,,
1983-12,1983,12,-21.4,,-26.2,,-23.8,,-15.7,,-31.7,,0,,11,,11,,29,,,,,
1984-01,1984,1,-29.1,,-33.4,,-31.3,,-23,,-38.6,,0,,1.1,,1.1,,30,,,,,
1984-02,1984,2,,M,-35.6,,,M,,M,-40.5,,0,,1.3,,1.3,,30,,,,,
1984-03,1984,3,,M,-30.5,,,M,,M,-41.4,,,M,,M,,M,27,,,,,
1984-04,1984,4,-17.1,,-22.5,,-19.8,,-2,,-31.8,S,0,,14.6,,14.6,,23,,,,,
1984-05,1984,5,-5.4,,-12.1,,-8.8,,2,S,-19.5,,0,T,18,,18,,26,,,,,
1984-06,1984,6,2.9,,-1.7,,0.6,,10.5,,-7.8,,3.1,,9.9,,13,,0,,,,,
1984-07,1984,7,11.1,,3.7,,7.4,,18.7,,-4,,1,,4.9,,5.9,,1,,,,,
1984-08,1984,8,4.4,,-0.2,,2.1,,8.9,,-3.7,,35,,8.7,,43.7,,3,,,,,
1984-09,1984,9,-1,,-3.5,,-2.3,,9.2,,-7.2,,,M,,M,,M,14,,,,,
1984-10,1984,10,-3.5,,-8.3,,-5.9,,8.5,,-16.5,,4.4,,31.2,,35.6,,10,,,,,
1984-11,1984,11,-12.2,,-17.4,,-14.8,,-3.1,,-26.9,,0,,33.6,,33.6,,30,,,,,
1984-12,1984,12,-22.3,,-28,,-25.2,,-15,,-37.4,,0,,28.4,,28.4,,29,,,,,
1985-01,1985,1,-20,,-25.9,,-23,,-5.2,,-35.1,,0,,3.4,,3.4,,19,,,,,
1985-02,1985,2,-22.9,,-29.7,,-26.3,,,M,-44.1,,0,,2.8,,2.8,,16,,,,,
1985-03,1985,3,-20.5,,-28.7,,-24.6,,-1.3,,-42,,0,,19,,19,,9,,,,,
1985-04,1985,4,-14.5,,-21.3,,-17.9,,0,,-30.1,,0,,33.2,,33.2,,13,,,,,
1985-05,1985,5,-4,,-9.3,,-6.7,,4.3,,-18.9,,0.6,,10,,10.6,,2,,,,,
1985-06,1985,6,6.7,,-0.2,,3.3,,13.5,S,-6.2,,0.2,,21.4,,21.6,,0,T,,,,
1985-07,1985,7,8.8,,1.9,,5.4,,16.9,,-3.3,,17.5,,2.3,,19.8,,0,,,,,
1985-08,1985,8,8.1,,2,,5.1,,15,,-2.4,,55.1,,20.8,,75.9,,0,,,,,
1985-09,1985,9,1.6,,-2.2,,-0.3,,9.4,,-6.2,,23.9,,37,,60.9,,13,,,,,
1985-10,1985,10,,M,,M,,M,,M,,M,,M,,M,,M,8,,,,,
1985-11,1985,11,,M,,M,,M,,M,,M,0,,,M,,M,22,,,,,
1985-12,1985,12,-15,,-20.2,,-17.6,,-6.1,,-29.1,,0,,,M,,M,20,,,,,
1986-01,1986,1,-22.3,,-27.6,,-25,,-13.4,,-36,,0,,20.6,,20.6,,29,,,,,
1986-02,1986,2,-16.8,,-23.3,,-20.1,,-1.7,,-32.1,,0,,6,,6,,21,,,,,
1986-03,1986,3,-23.1,,-30.4,,-26.8,,,M,-37.3,,0,,3.4,,3.4,,20,,,,,
1986-04,1986,4,-13.9,,-19.2,,-16.6,,-1.6,,-27,,0,,18.6,,18.6,,30,,,,,
1986-05,1986,5,-4.8,,-9.2,,-7,,0.5,,-13.9,,0,,23.8,,23.8,,25,,,,,
1986-06,1986,6,0.3,,-4.4,,-2.1,,5.6,,-10.4,,0,,12.2,,12.2,,3,,,,,
1986-07,1986,7,8.3,,1.8,,5.1,,18.1,,-5.6,,6.6,,15.9,,22.5,,0,,,,,
1986-08,1986,8,5.1,,-0.6,,2.3,,14.5,,-5.4,,58.8,,30.5,,89.3,,1,,,,,
1986-09,1986,9,-0.4,,-3.9,,-2.2,,8,,-8.1,,9.6,,57.2,,66.8,,23,,,,,
1986-10,1986,10,-10.5,,-14.7,,-12.6,,-2,,-24.7,,0,,62.7,,62.7,,60,,,,,
1986-11,1986,11,-19.1,,-23.1,,-21.1,,-12.6,,-29.3,,0,,10,,10,,59,,,,,
1986-12,1986,12,-21.5,,-27.1,,-24.3,,-12,,-33,,,M,,M,,M,58,,,,,
1987-01,1987,1,-23.8,,-30.2,,-27,,-14.7,,-36.7,,0,,3.2,,3.2,,58,,,,,
1987-02,1987,2,-26.6,,-32.3,,-29.5,,-15,,-37.5,,0,,0,T,0,T,58,,,,,
1987-03,1987,3,-21.4,,-28.1,,-24.8,,-9.7,,-33.8,,0,,2,,2,,49,,,,,
1987-04,1987,4,-17.9,,-23.9,,-20.9,,-11.4,,-31,,0,,3.8,,3.8,,48,,,,,
1987-05,1987,5,-9,,-13.8,,-11.4,,-2.2,,-21.2,,0,,23.8,,23.8,,59,,,,,
1987-06,1987,6,1.9,,-3.3,,-0.7,,12,,-8.9,,2,,10.4,,12.4,,7,,,,,
1987-07,1987,7,7.7,,1.1,,4.4,,14,,-4.1,,,M,1.2,,,M,0,,,,,
1987-08,1987,8,7.2,,2.2,,4.7,,12.8,,-7,,,M,0.2,,,M,0,,,,,
1987-09,1987,9,3,,-1.1,,1,,10,,-6.1,,22.4,,24.4,,46.8,,17,,,,,
1987-10,1987,10,-5.3,,-8.3,,-6.8,,-2.8,S,-14.1,,0.4,,49.2,,49.6,,39,,,,,
1987-11,1987,11,-14.1,,-18.6,E,-16.4,E,-7.1,,-27.2,,0,,33.8,,33.8,,62,,,,,
1987-12,1987,12,-17.3,,-22.4,,-19.9,,-6.2,,-30.3,,0,,8,,8,,51,,,,,
1988-01,1988,1,-24.2,,-28.6,,-26.4,,-19.7,,-34.5,,0,,10.8,,10.8,,53,,,,,
1988-02,1988,2,-19.4,,-25.7,,-22.6,,-12.1,,-31.2,,0,,39.2,,39.2,,72,,,,,
1988-03,1988,3,-18.9,,-25,,-22,,-8.7,S,-29,,0,,23.5,,23.5,,77,,,,,
1988-04,1988,4,-12,,-17.8,,-14.9,,-2.2,,-29.7,,0,,9.6,,9.6,,78,,,,,
1988-05,1988,5,-4.1,,-9.9,,-7,,4.8,,-18.5,,0,,29.3,,29.3,,33,,,,,
1988-06,1988,6,2.6,,-2.4,,0.1,,11.1,,-5.9,,0.8,,19.6,,20.6,,0,T,,,,
1988-07,1988,7,6.6,,1.3,,4,,17.7,,-3,S,32.3,,16.6,,48.7,,6,,,,,
1988-08,1988,8,5.9,,-0.2,,2.9,,12.5,,-12.2,,39.8,,12.4,,52.2,,6,,,,,
1988-09,1988,9,0.4,,-3,,-1.3,,12.3,,-6.3,,11.2,,21.2,,32.4,,14,,,,,
1988-10,1988,10,-3.2,,-7.2,,-5.2,,2.1,,-13.5,,0,,32.4,,32.4,,41,,,,,
1988-11,1988,11,-11.2,,-17,,-14.1,,-2,,-26.4,,0,,34.6,,34.6,,70,,,,,
1988-12,1988,12,-20.6,,-25.9,,-23.3,,-10.2,,-35.4,,0,,13,,13.2,,83,,,,,
1989-01,1989,1,-26.7,,-31.2,,-29,,-22.4,,-35.8,,0,,3.1,,3.1,,88,,,,,
1989-02,1989,2,-27.5,,-31.8,,-29.7,,-21.7,S,-35.6,,0,,0,T,0,T,89,,,,,
1989-03,1989,3,-24.7,,-29.7,,-27.2,,-16.8,,-37.7,,0,,5.2,,5.2,,91,,,,,
1989-04,1989,4,-12.6,,-18.9,,-15.8,,-0.3,,-27.6,,0,,6,,6,,78,,,,,
1989-05,1989,5,-7.7,,-14.2,,-11,,1.8,,-21.2,,0,,25,,25,,60,,,,,
1989-06,1989,6,2.7,,-2.7,,-0.1,,10.4,,-8,,0.2,,22.4,,22.6,,1,,,,,
1989-07,1989,7,8.5,,1.6,,5.1,,14.8,,-4.3,,41.4,,7.2,,48.6,,0,,,,,
1989-08,1989,8,5.7,,0.2,,3,,11.8,,-2.8,,34,,11.8,,45.8,,0,T,,,,
1989-09,1989,9,-0.6,,-3.9,,-2.3,,5.6,,-9.4,,0,T,22.8,,22.8,,14,,,,,
1989-10,1989,10,-5.9,,-10.2,,-8.1,,-1.3,,-19.2,,0,,44.1,,45.6,,38,,,,,
1989-11,1989,11,-11.4,,-17,,-14.2,,-1.5,,-25.8,,0,,29.4,,29.4,,57,,,,,
1989-12,1989,12,-19.4,,-24.5,,-22,,-4.8,S,-31.8,,0,,6.4,,6.4,,58,,,,,
1990-01,1990,1,-24.3,,-28.9,,-26.6,,-17.2,,-35.2,,0,,1,,1,,59,,,,,
1990-02,1990,2,-26.6,,-31.3,,-29,,-15.7,,-36.4,,0,,1.4,,1.4,,46,,,,,
1990-03,1990,3,-21.4,,-27.1,,-24.3,,-12.9,,-31.1,,0,,3.6,,3.6,,42,,,,,
1990-04,1990,4,-15.9,,-21.3,,-18.6,,-7.5,,-27.6,,0,,2.6,,2.6,,25,,,,,
1990-05,1990,5,-3.8,,-9.6,,-6.7,,6.7,,-18.1,,0,,21.2,,21.2,,6,,,,,
1990-06,1990,6,4.2,,-1.9,,1.2,,10.4,,-7.2,,0.4,,6.2,,6.6,,0,,,,,
1990-07,1990,7,10.2,,4,,7.1,,19.5,,-1,,12.9,,0,,12.9,,0,,,,,
1990-08,1990,8,5.4,,0.4,,2.9,,11.1,,-2.1,,26.5,,0,T,26.5,,0,,,,,
1990-09,1990,9,0.3,,-3.3,,-1.5,,5.2,,-6.9,,7.1,,20.4,,27.5,,10,,,,,
1990-10,1990,10,-7.4,E,-11.3,E,-9.4,E,0.5,,-18.6,,0,,29.8,,29.8,,34,,,,,
1990-11,1990,11,-15.8,,-20.2,,-18,,-9,,-25.2,,0,,2.4,,2.4,,32,,,,,
1990-12,1990,12,-22.1,,-27.6,,-24.9,,-4.6,,-33.5,,0,,3.4,,3.4,,36,,,,,
1991-01,1991,1,-25.8,,-30.7,,-28.3,,-17.2,,-38.3,,0,,0.4,,0.4,,36,,,,,
1991-02,1991,2,-24.2,,-28.8,,-26.5,,-14.4,,-35.5,S,0,,10.8,,10.8,,49,,,,,
1991-03,1991,3,-20.6,,-26.8,,-23.7,,-8.2,,-36.3,,0,,7.4,,7.4,,54,,,,,
1991-04,1991,4,-15.6,,-21.4,,-18.5,,-4.2,,-30,,0,,10.2,,10.2,,59,,,,,
1991-05,1991,5,-7,,-12,,-9.5,,8,,-17.4,,0,,6.8,,6.8,,47,,,,,
1991-06,1991,6,6.9,,0.3,,3.6,,13.6,,-3.6,,9.2,,1.4,,10.6,,0,,,,,
1991-07,1991,7,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1991-08,1991,8,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1991-09,1991,9,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1991-10,1991,10,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1991-11,1991,11,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1991-12,1991,12,,,,,,,,,,,,,,,,,,,,,,
1992-01,1992,1,,,,,,,,,,,,,,,,,,,,,,
1992-02,1992,2,,,,,,,,,,,,,,,,,,,,,,
1992-03,1992,3,,,,,,,,,,,,,,,,,,,,,,
1992-04,1992,4,,,,,,,,,,,,,,,,,,,,,,
1992-05,1992,5,,,,,,,,,,,,,,,,,,,,,,
1992-06,1992,6,,,,,,,,,,,,,,,,,,,,,,
1992-07,1992,7,,,,,,,,,,,,,,,,,,,,,,
1992-08,1992,8,,,,,,,,,,,,,,,,,,,,,,
1992-09,1992,9,,,,,,,,,,,,,,,,,,,,,,
1992-10,1992,10,,,,,,,,,,,,,,,,,,,,,,
1992-11,1992,11,,,,,,,,,,,,,,,,,,,,,,
1992-12,1992,12,,,,,,,,,,,,,,,,,,,,,,
1993-01,1993,1,,,,,,,,,,,,,,,,,,,,,,
1993-02,1993,2,,,,,,,,,,,,,,,,,,,,,,
1993-03,1993,3,,,,,,,,,,,,,,,,,,,,,,
1993-04,1993,4,,,,,,,,,,,,,,,,,,,,,,
1993-05,1993,5,,,,,,,,,,,,,,,,,,,,,,
1993-06,1993,6,,,,,,,,,,,,,,,,,,,,,,
1993-07,1993,7,,,,,,,,,,,,,,,,,,,,,,
1993-08,1993,8,,,,,,,,,,,,,,,,,,,,,,
1993-09,1993,9,,,,,,,,,,,,,,,,,,,,,,
1993-10,1993,10,,,,,,,,,,,,,,,,,,,,,,
1993-11,1993,11,,,,,,,,,,,,,,,,,,,,,,
1993-12,1993,12,,,,,,,,,,,,,,,,,,,,,,
1994-01,1994,1,,,,,,,,,,,,,,,,,,,,,,
1994-02,1994,2,,,,,,,,,,,,,,,,,,,,,,
1994-03,1994,3,,,,,,,,,,,,,,,,,,,,,,
1994-04,1994,4,,,,,,,,,,,,,,,,,,,,,,
1994-05,1994,5,,,,,,,,,,,,,,,,,,,,,,
1994-06,1994,6,,,,,,,,,,,,,,,,,,,,,,
1994-07,1994,7,,,,,,,,,,,,,,,,,,,,,,
1994-08,1994,8,,,,,,,,,,,,,,,,,,,,,,
1994-09,1994,9,,,,,,,,,,,,,,,,,,,,,,
1994-10,1994,10,,,,,,,,,,,,,,,,,,,,,,
1994-11,1994,11,,,,,,,,,,,,,,,,,,,,,,
1994-12,1994,12,,,,,,,,,,,,,,,,,,,,,,
1995-01,1995,1,,,,,,,,,,,,,,,,,,,,,,
1995-02,1995,2,,,,,,,,,,,,,,,,,,,,,,
1995-03,1995,3,,,,,,,,,,,,,,,,,,,,,,
1995-04,1995,4,,,,,,,,,,,,,,,,,,,,,,
1995-05,1995,5,,,,,,,,,,,,,,,,,,,,,,
1995-06,1995,6,,,,,,,,,,,,,,,,,,,,,,
1995-07,1995,7,,,,,,,,,,,,,,,,,,,,,,
1995-08,1995,8,,,,,,,,,,,,,,,,,,,,,,
1995-09,1995,9,,,,,,,,,,,,,,,,,,,,,,
1995-10,1995,10,,,,,,,,,,,,,,,,,,,,,,
1995-11,1995,11,,,,,,,,,,,,,,,,,,,,,,
1995-12,1995,12,,,,,,,,,,,,,,,,,,,,,,
1996-01,1996,1,,,,,,,,,,,,,,,,,,,,,,
1996-02,1996,2,,,,,,,,,,,,,,,,,,,,,,
1996-03,1996,3,,,,,,,,,,,,,,,,,,,,,,
1996-04,1996,4,,,,,,,,,,,,,,,,,,,,,,
1996-05,1996,5,,,,,,,,,,,,,,,,,,,,,,
1996-06,1996,6,,,,,,,,,,,,,,,,,,,,,,
1996-07,1996,7,,,,,,,,,,,,,,,,,,,,,,
1996-08,1996,8,,,,,,,,,,,,,,,,,,,,,,
1996-09,1996,9,,,,,,,,,,,,,,,,,,,,,,
1996-10,1996,10,,,,,,,,,,,,,,,,,,,,,,
1996-11,1996,11,,,,,,,,,,,,,,,,,,,,,,
1996-12,1996,12,,,,,,,,,,,,,,,,,,,,,,
1997-01,1997,1,,,,,,,,,,,,,,,,,,,,,,
1997-02,1997,2,,,,,,,,,,,,,,,,,,,,,,
1997-03,1997,3,,,,,,,,,,,,,,,,,,,,,,
1997-04,1997,4,,,,,,,,,,,,,,,,,,,,,,
1997-05,1997,5,,,,,,,,,,,,,,,,,,,,,,
1997-06,1997,6,,,,,,,,,,,,,,,,,,,,,,
1997-07,1997,7,,,,,,,,,,,,,,,,,,,,,,
1997-08,1997,8,,,,,,,,,,,,,,,,,,,,,,
1997-09,1997,9,,,,,,,,,,,,,,,,,,,,,,
1997-10,1997,10,,,,,,,,,,,,,,,,,,,,,,
1997-11,1997,11,,,,,,,,,,,,,,,,,,,,,,
1997-12,1997,12,,,,,,,,,,,,,,,,,,,,,,
1998-01,1998,1,,,,,,,,,,,,,,,,,,,,,,
1998-02,1998,2,,,,,,,,,,,,,,,,,,,,,,
1998-03,1998,3,,,,,,,,,,,,,,,,,,,,,,
1998-04,1998,4,,,,,,,,,,,,,,,,,,,,,,
1998-05,1998,5,,,,,,,,,,,,,,,,,,,,,,
1998-06,1998,6,,,,,,,,,,,,,,,,,,,,,,
1998-07,1998,7,,,,,,,,,,,,,,,,,,,,,,
1998-08,1998,8,,,,,,,,,,,,,,,,,,,,,,
1998-09,1998,9,,,,,,,,,,,,,,,,,,,,,,
1998-10,1998,10,,,,,,,,,,,,,,,,,,,,,,
1998-11,1998,11,,,,,,,,,,,,,,,,,,,,,,
1998-12,1998,12,,,,,,,,,,,,,,,,,,,,,,
1999-01,1999,1,,,,,,,,,,,,,,,,,,,,,,
1999-02,1999,2,,,,,,,,,,,,,,,,,,,,,,
1999-03,1999,3,,,,,,,,,,,,,,,,,,,,,,
1999-04,1999,4,,,,,,,,,,,,,,,,,,,,,,
1999-05,1999,5,,,,,,,,,,,,,,,,,,,,,,
1999-06,1999,6,,,,,,,,,,,,,,,,,,,,,,
1999-07,1999,7,,,,,,,,,,,,,,,,,,,,,,
1999-08,1999,8,,,,,,,,,,,,,,,,,,,,,,
1999-09,1999,9,,,,,,,,,,,,,,,,,,,,,,
1999-10,1999,10,,,,,,,,,,,,,,,,,,,,,,
1999-11,1999,11,,,,,,,,,,,,,,,,,,,,,,
1999-12,1999,12,,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,1,-25.1,,-29,,-27.1,,-19.9,S,-32.4,,,,,,,,,,,,,
2000-02,2000,2,-23.2,,-27.3,,-25.3,,-15.2,S,-32.6,,,,,,,,,,,,,
2000-03,2000,3,-19.5,,-24.6,,-22.1,,-1.3,,-32.8,,,,,,,,,,,,,
2000-04,2000,4,-11.8,E,-16.5,E,-14.1,E,-3.9,,-26.1,E,,,,,,,,,,,,
2000-05,2000,5,-5.2,,-10.3,,-7.8,,5.7,,-14.8,,,,,,,,,,,,,
2000-06,2000,6,-0.1,,-3.8,,-2,,6.9,,-10.5,,,,,,,,0,,,,,
2000-07,2000,7,8,,1.6,,4.8,,18.3,,-2.8,,,,0,,,,0,,,,,
2000-08,2000,8,7.9,,2.1,,5,,14.6,,-1.5,,,,0,,,,0,,,,,
2000-09,2000,9,1.3,,-1.7,,-0.2,,8.1,,-6.6,,,,,,,,,M,,,,
2000-10,2000,10,-6.3,I,-10.1,I,-8.4,I,-2,I,-16.9,I,,,,,,,,,,,,
2000-11,2000,11,-10.4,,-14.9,,-12.6,,2.6,,-25.5,,,,,,,,,,,,,
2000-12,2000,12,-15.7,,-21.4,,-18.6,,8.1,,-25.5,,,,,,,,,,,,,
2001-01,2001,1,-25.1,I,-29.4,I,-27.1,I,-14.9,I,-33.8,I,,,,,,,,,,,,
2001-02,2001,2,-25.1,,-29.3,,-27.2,,-18.3,,-34.6,,,,,,,,,,,,,
2001-03,2001,3,-16.4,,-22.7,,-19.6,,-5.8,,-30.8,,,,,,,,,,,,,
2001-04,2001,4,-14.7,,-19.3,,-17.1,,-5.6,S,-26.1,,,,,,,,,,,,,
2001-05,2001,5,,,,,,,,,,,,,,,,,,,,,,
2001-06,2001,6,0.4,I,-3.4,I,-1.6,I,11.3,I,-6.9,I,,,,,,,0,,,,,
2001-07,2001,7,11.5,,5.5,,8.5,,20.3,,-2.4,,,,,,,,0,,,,,
2001-08,2001,8,6.6,,2.5,,4.6,,19.4,,-1,S,,,,,,,0,,,,,
2001-09,2001,9,0.9,,-1.4,,-0.3,,7.7,,-5.1,,,,,,,,,,,,,
